Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 10:59:01,2023-08-15 10:59:19,17.898s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 10:59:01,2023-08-15 10:59:10,8.520s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 10:59:01,2023-08-15 10:59:04,2.181s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 10:59:04,2023-08-15 10:59:09,5.653s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:59:09,2023-08-15 10:59:10,0.583s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 10:59:10,2023-08-15 10:59:19,9.274s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 10:59:10,2023-08-15 10:59:18,8.593s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:59:18,2023-08-15 10:59:19,0.609s,PASSED
