Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-14 10:26:25,2023-08-14 10:26:34,9.671s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-14 10:26:25,2023-08-14 10:26:34,9.534s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-14 10:26:25,2023-08-14 10:26:28,2.844s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-14 10:26:28,2023-08-14 10:26:34,5.946s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-14 10:26:34,2023-08-14 10:26:34,0.619s,PASSED
