Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 11:18:10,2023-08-15 11:18:29,19.778s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 11:18:10,2023-08-15 11:18:19,8.903s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 11:18:10,2023-08-15 11:18:12,2.216s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 11:18:12,2023-08-15 11:18:18,5.980s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:18:18,2023-08-15 11:18:19,0.605s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 11:18:19,2023-08-15 11:18:29,10.758s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 11:18:19,2023-08-15 11:18:29,10.103s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:18:29,2023-08-15 11:18:29,0.598s,PASSED
