Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 11:12:47,2023-08-15 11:13:06,18.833s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 11:12:47,2023-08-15 11:12:55,7.767s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 11:12:47,2023-08-15 11:12:49,1.582s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 11:12:49,2023-08-15 11:12:54,5.497s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:12:54,2023-08-15 11:12:55,0.592s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 11:12:55,2023-08-15 11:13:06,10.956s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 11:12:55,2023-08-15 11:13:05,10.309s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:13:05,2023-08-15 11:13:06,0.586s,PASSED
