Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 11:51:44,2023-08-15 11:52:05,20.751s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 11:51:44,2023-08-15 11:51:53,8.813s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 11:51:44,2023-08-15 11:51:46,2.114s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 11:51:46,2023-08-15 11:51:52,5.985s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:51:52,2023-08-15 11:51:53,0.610s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 11:51:53,2023-08-15 11:52:05,11.834s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 11:51:53,2023-08-15 11:52:04,11.154s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 11:52:04,2023-08-15 11:52:05,0.613s,PASSED
