Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 10:31:43,2023-08-15 10:32:03,20.259s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 10:31:43,2023-08-15 10:31:52,8.996s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 10:31:43,2023-08-15 10:31:45,2.340s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 10:31:45,2023-08-15 10:31:51,5.911s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:31:51,2023-08-15 10:31:52,0.615s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 10:31:52,2023-08-15 10:32:03,11.126s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 10:31:52,2023-08-15 10:32:02,10.443s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:32:02,2023-08-15 10:32:03,0.612s,PASSED
