Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 10:39:42,2023-08-15 10:40:01,19.312s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 10:39:42,2023-08-15 10:39:51,8.886s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 10:39:42,2023-08-15 10:39:44,2.172s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 10:39:44,2023-08-15 10:39:50,5.981s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:39:50,2023-08-15 10:39:51,0.600s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 10:39:51,2023-08-15 10:40:01,10.320s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 10:39:51,2023-08-15 10:40:00,9.647s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:40:00,2023-08-15 10:40:01,0.596s,PASSED
