Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-15 10:16:28,2023-08-15 10:16:47,19.201s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-15 10:16:28,2023-08-15 10:16:37,8.271s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-15 10:16:28,2023-08-15 10:16:31,2.110s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-15 10:16:31,2023-08-15 10:16:36,5.454s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:16:36,2023-08-15 10:16:37,0.613s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-15 10:16:37,2023-08-15 10:16:47,10.828s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-15 10:16:37,2023-08-15 10:16:47,10.169s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-15 10:16:47,2023-08-15 10:16:47,0.589s,PASSED
