Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 115.0.0.0,,,2023-08-14 11:29:22,2023-08-14 11:30:00,38.144s,PASSED
,,,,,,,
Test Cases/Test 1 by Matt,Chrome 115.0.0.0,,,2023-08-14 11:29:22,2023-08-14 11:29:31,9.220s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-14 11:29:22,2023-08-14 11:29:24,2.184s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 115.0.0.0,,,2023-08-14 11:29:24,2023-08-14 11:29:31,6.301s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-14 11:29:31,2023-08-14 11:29:31,0.626s,PASSED
,,,,,,,
Test Cases/Test 2 by Liz,Chrome 115.0.0.0,,,2023-08-14 11:29:31,2023-08-14 11:30:00,28.808s,PASSED
"openBrowser(""https://katalon.com/"")",Chrome 115.0.0.0,,,2023-08-14 11:29:31,2023-08-14 11:30:00,28.152s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-14 11:30:00,2023-08-14 11:30:00,0.593s,PASSED
